country,kmeans_cluster,dbscan_cluster,development_status,renewable_growth_rate,fossil_reduction_rate,energy_intensity_improvement,low_carbon_change,solar_wind_growth,current_renewable_share,current_fossil_share,cluster_name
Lithuania,0,0,Developed,2.2002670226969294,0.10353276233953893,0.3505503810330229,9.888,6.162,14.382,85.618,Fossil Dependent
Lower-middle-income countries,3,0,Developing,0.4825521974010804,0.04016524635549594,0.0,3.7140000000000004,3.113,10.154,88.754,Rapid Shifters
Luxembourg,0,0,Developed,3.5448929159802303,0.08821178206862623,0.4096650192202087,8.607,3.34,11.035,88.965,Fossil Dependent
Malaysia,3,0,Developed,2.5572207084468666,0.05757786457800773,0.13250982594048288,5.631,0.508,7.833,92.167,Rapid Shifters
Mexico,3,0,Developed,0.5526625230975978,0.04001028652251243,0.12875867386276024,3.733999999999999,4.234000000000001,9.243,89.592,Rapid Shifters
Middle Africa (EI),0,0,Developing,0.19722800901322218,0.06065717386472098,0.0,4.638999999999999,0.107,28.16,71.84,Fossil Dependent
Middle East (EI),3,0,Developing,0.8725663716814162,0.010961934932367913,0.0,1.09,0.627,1.058,98.345,Rapid Shifters
Morocco,3,0,Developing,0.19595083152566878,0.011474785112419053,0.009259259259259267,1.0839999999999996,5.409,6.616,93.384,Rapid Shifters
Netherlands,0,0,Developed,3.7439947351102334,0.12044505969170564,0.32524875621890553,11.572,9.009,14.417,84.505,Fossil Dependent
New Zealand,0,0,Developed,0.13009318472501374,0.08079236168522753,0.3119810201660736,4.984000000000002,1.4829999999999999,43.295,56.705,Fossil Dependent
Non-OECD (EI),0,0,Developing,0.5658140985651903,0.055768869020614634,0.0,5.039999999999999,3.733,12.55,85.333,Fossil Dependent
North America,0,0,Developing,0.6038385826771653,0.04776530019329047,0.0,4.028000000000002,4.569,13.036,80.301,Fossil Dependent
North America (EI),0,0,Developing,0.6029865481920278,0.047312799419883145,0.0,3.980000000000002,4.634,12.989,80.141,Fossil Dependent
North Macedonia,3,0,Developed,-0.3102045130264756,-0.07240031081564445,0.28847435043304454,-5.869999999999997,1.68,13.053,86.947,Rapid Shifters
Norway,1,-1,Developed,0.07765863621594007,0.14189590342370872,0.147919876733436,5.018999999999991,6.706,69.648,30.352,Steady Transitioners
OECD (EI),0,0,Developing,0.712121212121212,0.04765676406794533,0.0,3.910999999999998,5.462999999999999,15.029,78.155,Fossil Dependent
Oceania,0,0,Developing,0.9559857126397049,0.09085533447947347,0.0,8.296999999999999,8.100000000000001,16.976,83.024,Fossil Dependent
Oman,3,0,Developed,1.136,0.011359999999999957,-0.3648802736602053,1.136,1.136,1.136,98.864,Rapid Shifters
Other Asia Pacific (EI),0,0,Developing,0.3017329806186902,0.06859604550977574,0.0,5.588999999999999,0.572,24.112,75.888,Fossil Dependent
Other CIS (EI),3,-1,Developing,-0.1377496640252097,-0.12016274186290683,0.0,-6.408999999999999,0.771,37.213,59.745,Rapid Shifters
Other Caribbean (EI),3,0,Developing,1.0260237275162647,0.027529341698583974,0.0,2.6809999999999996,2.4379999999999997,5.294,94.706,Rapid Shifters
Other Europe (EI),3,0,Developing,-0.20332563510392598,-0.056183790682833454,0.0,-4.4019999999999975,1.3130000000000002,17.248,82.752,Rapid Shifters
